Realm,EEZ
Arctic,Canada (Arctic)
Arctic,Canada (East Coast)
Arctic,Greenland
Arctic,Iceland
Arctic,Jan Mayen Isl. (Norway)
Arctic,Norway
Arctic,Russia (Barents Sea)
Arctic,Russia (Far East)
Arctic,Russia (Kara Sea)
Arctic,Russia (Laptev to Chukchi Sea)
Arctic,Svalbard Isl. (Norway)
Arctic,"USA (Alaska, Arctic)"
Arctic,"USA (Alaska, Subarctic)"
Central Indo-Pacific,American Samoa
Central Indo-Pacific,Australia
Central Indo-Pacific,Brunei Darussalam
Central Indo-Pacific,Cambodia
Central Indo-Pacific,China
Central Indo-Pacific,Christmas Isl. (Australia)
Central Indo-Pacific,Cocos (Keeling) Isl. (Australia)
Central Indo-Pacific,Cook Islands
Central Indo-Pacific,Fiji
Central Indo-Pacific,Guam (USA)
Central Indo-Pacific,Hong Kong (China)
Central Indo-Pacific,Indonesia (Central)
Central Indo-Pacific,Indonesia (Eastern)
Central Indo-Pacific,Indonesia (Indian Ocean)
Central Indo-Pacific,Japan (Daito Islands)
Central Indo-Pacific,Japan (Ogasawara Islands)
Central Indo-Pacific,Japan (main islands)
Central Indo-Pacific,Lord Howe Isl. (Australia)
Central Indo-Pacific,Malaysia (Peninsula East)
Central Indo-Pacific,Malaysia (Peninsula West)
Central Indo-Pacific,Malaysia (Sabah)
Central Indo-Pacific,Malaysia (Sarawak)
Central Indo-Pacific,Marshall Isl.
Central Indo-Pacific,Micronesia (Federated States of)
Central Indo-Pacific,New Caledonia (France)
Central Indo-Pacific,New Zealand
Central Indo-Pacific,Niue (New Zealand)
Central Indo-Pacific,Norfolk Isl. (Australia)
Central Indo-Pacific,Northern Marianas (USA)
Central Indo-Pacific,Palau
Central Indo-Pacific,Papua New Guinea
Central Indo-Pacific,Philippines
Central Indo-Pacific,Singapore
Central Indo-Pacific,Solomon Isl.
Central Indo-Pacific,Taiwan
Central Indo-Pacific,Thailand (Andaman Sea)
Central Indo-Pacific,Thailand (Gulf of Thailand)
Central Indo-Pacific,Timor Leste
Central Indo-Pacific,Tonga
Central Indo-Pacific,Vanuatu
Central Indo-Pacific,Viet Nam
Central Indo-Pacific,Wallis & Futuna Isl. (France)
Eastern Indo-Pacific,American Samoa
Eastern Indo-Pacific,Cook Islands
Eastern Indo-Pacific,Easter Isl. (Chile)
Eastern Indo-Pacific,Fiji
Eastern Indo-Pacific,French Polynesia
Eastern Indo-Pacific,Hawaii Main Islands (USA)
Eastern Indo-Pacific,Hawaii Northwest Islands (USA)
Eastern Indo-Pacific,Howland & Baker Isl. (USA)
Eastern Indo-Pacific,Jarvis Isl. (USA)
Eastern Indo-Pacific,Johnston Atoll (USA)
Eastern Indo-Pacific,Kiribati (Gilbert Islands)
Eastern Indo-Pacific,Kiribati (Line Islands)
Eastern Indo-Pacific,Kiribati (Phoenix Islands)
Eastern Indo-Pacific,Marshall Isl.
Eastern Indo-Pacific,Micronesia (Federated States of)
Eastern Indo-Pacific,Nauru
Eastern Indo-Pacific,Niue (New Zealand)
Eastern Indo-Pacific,Palmyra Atoll & Kingman Reef (USA)
Eastern Indo-Pacific,Pitcairn (UK)
Eastern Indo-Pacific,Samoa
Eastern Indo-Pacific,Solomon Isl.
Eastern Indo-Pacific,Tokelau (New Zealand)
Eastern Indo-Pacific,Tonga
Eastern Indo-Pacific,Tuvalu
Eastern Indo-Pacific,Wake Isl. (USA)
Eastern Indo-Pacific,Wallis & Futuna Isl. (France)
Southern Ocean,Bouvet Isl. (Norway)
Southern Ocean,Crozet Isl. (France)
Southern Ocean,Heard & McDonald Isl. (Australia)
Southern Ocean,Kerguelen Isl. (France)
Southern Ocean,Macquarie Isl. (Australia)
Southern Ocean,New Zealand
Southern Ocean,Prince Edward Isl. (South Africa)
Southern Ocean,South Georgia & Sandwich Isl. (UK)
Southern Ocean,South Orkney Islands (UK)
Temperate Australasia,Australia
Temperate Australasia,Kermadec Isl. (New Zealand)
Temperate Australasia,Lord Howe Isl. (Australia)
Temperate Australasia,New Zealand
Temperate Australasia,Norfolk Isl. (Australia)
Temperate Northern Atlantic,Albania
Temperate Northern Atlantic,Algeria
Temperate Northern Atlantic,Azores Isl. (Portugal)
Temperate Northern Atlantic,Bahamas
Temperate Northern Atlantic,Balearic Island (Spain)
Temperate Northern Atlantic,Belgium
Temperate Northern Atlantic,Bosnia & Herzegovina
Temperate Northern Atlantic,Bulgaria
Temperate Northern Atlantic,Canada (East Coast)
Temperate Northern Atlantic,Canary Isl. (Spain)
Temperate Northern Atlantic,Channel Isl. (UK)
Temperate Northern Atlantic,Corsica (France)
Temperate Northern Atlantic,Crete (Greece)
Temperate Northern Atlantic,Croatia
Temperate Northern Atlantic,Cyprus (North)
Temperate Northern Atlantic,Cyprus (South)
Temperate Northern Atlantic,Denmark (Baltic Sea)
Temperate Northern Atlantic,Denmark (North Sea)
Temperate Northern Atlantic,Egypt (Mediterranean)
Temperate Northern Atlantic,Estonia
Temperate Northern Atlantic,Faeroe Isl. (Denmark)
Temperate Northern Atlantic,Finland
Temperate Northern Atlantic,France (Atlantic Coast)
Temperate Northern Atlantic,France (Mediterranean)
Temperate Northern Atlantic,Gaza Strip
Temperate Northern Atlantic,Georgia
Temperate Northern Atlantic,Germany (Baltic Sea)
Temperate Northern Atlantic,Germany (North Sea)
Temperate Northern Atlantic,Greece
Temperate Northern Atlantic,Iceland
Temperate Northern Atlantic,Ireland
Temperate Northern Atlantic,Israel (Mediterranean)
Temperate Northern Atlantic,Italy
Temperate Northern Atlantic,Latvia
Temperate Northern Atlantic,Lebanon
Temperate Northern Atlantic,Libya
Temperate Northern Atlantic,Lithuania
Temperate Northern Atlantic,Madeira Isl. (Portugal)
Temperate Northern Atlantic,Malta
Temperate Northern Atlantic,Mauritania
Temperate Northern Atlantic,Mexico (Atlantic)
Temperate Northern Atlantic,Montenegro
Temperate Northern Atlantic,Morocco (Central)
Temperate Northern Atlantic,Morocco (Mediterranean)
Temperate Northern Atlantic,Morocco (South)
Temperate Northern Atlantic,Netherlands
Temperate Northern Atlantic,Norway
Temperate Northern Atlantic,Poland
Temperate Northern Atlantic,Portugal
Temperate Northern Atlantic,Romania
Temperate Northern Atlantic,Russia (Baltic Sea)
Temperate Northern Atlantic,Russia (Barents Sea)
Temperate Northern Atlantic,Russia (Black Sea)
Temperate Northern Atlantic,Saint Pierre & Miquelon (France)
Temperate Northern Atlantic,Sardinia (Italy)
Temperate Northern Atlantic,Sicily (Italy)
Temperate Northern Atlantic,Slovenia
Temperate Northern Atlantic,Spain (Mediterranean and Gulf of Cadiz)
Temperate Northern Atlantic,Spain (Northwest)
Temperate Northern Atlantic,Sweden (Baltic)
Temperate Northern Atlantic,Sweden (West Coast)
Temperate Northern Atlantic,Syria
Temperate Northern Atlantic,Tunisia
Temperate Northern Atlantic,Turkey (Black Sea)
Temperate Northern Atlantic,Turkey (Marmara Sea)
Temperate Northern Atlantic,Turkey (Mediterranean Sea)
Temperate Northern Atlantic,USA (East Coast)
Temperate Northern Atlantic,USA (Gulf of Mexico)
Temperate Northern Atlantic,Ukraine
Temperate Northern Atlantic,United Kingdom
Temperate Northern Pacific,Canada (Pacific)
Temperate Northern Pacific,China
Temperate Northern Pacific,Japan (main islands)
Temperate Northern Pacific,Korea (North)
Temperate Northern Pacific,Korea (South)
Temperate Northern Pacific,Mexico (Pacific)
Temperate Northern Pacific,Russia (Far East)
Temperate Northern Pacific,Taiwan
Temperate Northern Pacific,"USA (Alaska, Subarctic)"
Temperate Northern Pacific,USA (West Coast)
Temperate South America,Argentina
Temperate South America,Brazil
Temperate South America,Chile
Temperate South America,Desventuradas Isl. (Chile)
Temperate South America,Falkland Isl. (UK)
Temperate South America,Juan Fernandez Islands (Chile)
Temperate South America,Peru
Temperate South America,Tristan da Cunha Isl. (UK)
Temperate South America,Uruguay
Temperate Southern Africa,Angola
Temperate Southern Africa,Namibia
Temperate Southern Africa,South Africa (Atlantic Coast)
Temperate Southern Africa,South Africa (Indian Ocean Coast)
Temperate Southern Africa,St Paul & Amsterdam Isl. (France)
Tropical Atlantic,Angola
Tropical Atlantic,Anguilla (UK)
Tropical Atlantic,Antigua & Barbuda
Tropical Atlantic,Aruba (Netherlands)
Tropical Atlantic,Ascension Isl. (UK)
Tropical Atlantic,Bahamas
Tropical Atlantic,Barbados
Tropical Atlantic,Belize
Tropical Atlantic,Benin
Tropical Atlantic,Bermuda (UK)
Tropical Atlantic,Bonaire (Netherlands)
Tropical Atlantic,Brazil
Tropical Atlantic,Brazil (Fernando de Noronha)
Tropical Atlantic,Brazil (St Paul and St. Peter Archipelago)
Tropical Atlantic,British Virgin Isl. (UK)
Tropical Atlantic,Cameroon
Tropical Atlantic,Cape Verde
Tropical Atlantic,Cayman Isl. (UK)
Tropical Atlantic,Colombia (Caribbean)
Tropical Atlantic,Congo (ex-Zaire)
Tropical Atlantic,"Congo, R. of"
Tropical Atlantic,Costa Rica (Caribbean)
Tropical Atlantic,Cuba
Tropical Atlantic,Curacao (Netherlands)
Tropical Atlantic,Côte d'Ivoire
Tropical Atlantic,Dominica
Tropical Atlantic,Dominican Republic
Tropical Atlantic,Equatorial Guinea
Tropical Atlantic,French Guiana
Tropical Atlantic,Gabon
Tropical Atlantic,Gambia
Tropical Atlantic,Ghana
Tropical Atlantic,Grenada
Tropical Atlantic,Guadeloupe  (France)
Tropical Atlantic,Guatemala (Caribbean)
Tropical Atlantic,Guinea
Tropical Atlantic,Guinea-Bissau
Tropical Atlantic,Guyana
Tropical Atlantic,Haiti
Tropical Atlantic,Honduras (Caribbean)
Tropical Atlantic,Jamaica
Tropical Atlantic,Liberia
Tropical Atlantic,Martinique (France)
Tropical Atlantic,Mauritania
Tropical Atlantic,Mexico (Atlantic)
Tropical Atlantic,Montserrat (UK)
Tropical Atlantic,Morocco (South)
Tropical Atlantic,Nicaragua (Caribbean)
Tropical Atlantic,Nigeria
Tropical Atlantic,Panama (Caribbean)
Tropical Atlantic,Panama (Pacific)
Tropical Atlantic,Puerto Rico (USA)
Tropical Atlantic,Saba and Sint Eustaius (Netherlands)
Tropical Atlantic,Saint Helena (UK)
Tropical Atlantic,Saint Kitts & Nevis
Tropical Atlantic,Saint Lucia
Tropical Atlantic,Saint Vincent & the Grenadines
Tropical Atlantic,Sao Tome & Principe
Tropical Atlantic,Senegal
Tropical Atlantic,Sierra Leone
Tropical Atlantic,Sint Maarten (Netherlands)
Tropical Atlantic,St Barthelemy (France)
Tropical Atlantic,St Martin (France)
Tropical Atlantic,Suriname
Tropical Atlantic,Togo
Tropical Atlantic,Trindade & Martim Vaz Isl. (Brazil)
Tropical Atlantic,Trinidad & Tobago
Tropical Atlantic,Turks & Caicos Isl. (UK)
Tropical Atlantic,US Virgin Isl.
Tropical Atlantic,USA (East Coast)
Tropical Atlantic,USA (Gulf of Mexico)
Tropical Atlantic,Venezuela
Tropical Eastern Pacific,Clipperton Isl.  (France)
Tropical Eastern Pacific,Colombia (Pacific)
Tropical Eastern Pacific,Costa Rica (Pacific)
Tropical Eastern Pacific,Ecuador
Tropical Eastern Pacific,El Salvador
Tropical Eastern Pacific,Galapagos Isl. (Ecuador)
Tropical Eastern Pacific,Guatemala (Pacific)
Tropical Eastern Pacific,Honduras (Pacific)
Tropical Eastern Pacific,Mexico (Pacific)
Tropical Eastern Pacific,Nicaragua (Pacific)
Tropical Eastern Pacific,Panama (Pacific)
Tropical Eastern Pacific,Peru
Western Indo-Pacific,Andaman & Nicobar Isl. (India)
Western Indo-Pacific,Bahrain
Western Indo-Pacific,Bangladesh
Western Indo-Pacific,Chagos Archipelago (UK)
Western Indo-Pacific,Comoros Isl.
Western Indo-Pacific,Djibouti
Western Indo-Pacific,Egypt (Red Sea)
Western Indo-Pacific,Eritrea
Western Indo-Pacific,Glorieuse Islands (France)
Western Indo-Pacific,India (mainland)
Western Indo-Pacific,Indonesia (Indian Ocean)
Western Indo-Pacific,Iran (Persian Gulf)
Western Indo-Pacific,Iran (Sea of Oman)
Western Indo-Pacific,Iraq
Western Indo-Pacific,Israel (Red Sea)
Western Indo-Pacific,Jordan
Western Indo-Pacific,Kenya
Western Indo-Pacific,Kuwait
Western Indo-Pacific,Madagascar
Western Indo-Pacific,Malaysia (Peninsula West)
Western Indo-Pacific,Maldives
Western Indo-Pacific,Mauritius
Western Indo-Pacific,Mayotte (France)
Western Indo-Pacific,Mozambique
Western Indo-Pacific,Mozambique Channel Isl. (France)
Western Indo-Pacific,Myanmar
Western Indo-Pacific,Oman
Western Indo-Pacific,Oman (Musandam)
Western Indo-Pacific,Pakistan
Western Indo-Pacific,Qatar
Western Indo-Pacific,Réunion (France)
Western Indo-Pacific,Saudi Arabia (Persian Gulf)
Western Indo-Pacific,Saudi Arabia (Red Sea)
Western Indo-Pacific,Seychelles
Western Indo-Pacific,Somalia
Western Indo-Pacific,South Africa (Indian Ocean Coast)
Western Indo-Pacific,Sri Lanka
Western Indo-Pacific,Sudan
Western Indo-Pacific,Tanzania
Western Indo-Pacific,Thailand (Andaman Sea)
Western Indo-Pacific,Tromelin Isl. (France)
Western Indo-Pacific,United Arab Emirates
Western Indo-Pacific,United Arab Emirates (Fujairah)
Western Indo-Pacific,Yemen (Arabian Sea)
Western Indo-Pacific,Yemen (Red Sea)
